srr	rc	offset	p	fdr
SRR1528693	30	12	3.13587060107771e-36	8.15192344716057e-35
SRR1257226	29	12	3.58552847865059e-36	9.28117861090705e-35
SRR1585525	28	14	3.63430657605339e-36	9.36110407763872e-35
SRR1802153	29	12	3.64718340687223e-36	9.36110407763872e-35
SRR1535548	28	12	5.06150690661268e-36	1.29366161819012e-34
SRR1257248	29	12	5.50664420070614e-36	1.40154463066508e-34
SRR1257245	29	12	6.01172559354718e-36	1.52372194939781e-34
SRR1257229	29	12	1.22945094958574e-35	3.10321582005397e-34
SRR1802154	29	12	1.40156290486484e-35	3.52301948359208e-34
SRR1585546	29	14	1.96031318627855e-35	4.90723667165944e-34
SRR1802134	28	12	3.52133108113241e-35	8.77879383874117e-34
SRR1257236	29	12	3.70084220084162e-35	9.18866249294676e-34
SRR3306589	28	12	4.10649835699754e-35	1.01544022380553e-33
SRR1535547	28	12	4.77591044528778e-35	1.17618879508849e-33
SRR1916550	29	12	6.12292395999487e-35	1.50184461486487e-33
SRR1916547	29	12	7.09096036107958e-35	1.73230168178502e-33
SRR1535536	28	12	8.43260458160607e-35	2.05182134679639e-33
SRR1802147	29	12	8.47185811634934e-35	2.05315987736068e-33
SRR1257234	29	12	1.22189852015261e-34	2.93786905422793e-33
SRR627627	30	12	1.22189852164995e-34	2.93786905422793e-33
SRR1333393	30	12	3.10331255988251e-34	7.43206704793909e-33
SRR1976447	28	12	4.05593632248863e-34	9.67539633321503e-33
SRR1257232	29	12	4.40704788602643e-34	1.04719032385542e-32
SRR4293694	26	12	4.87276985729375e-34	1.15334860085284e-32
SRR1585517	29	14	6.12101527325486e-34	1.44318356229493e-32
SRR1257239	28	12	6.18859148232688e-34	1.45348270220056e-32
SRR1257233	29	12	6.52800769128523e-34	1.52730272254185e-32
SRR1802135	28	12	7.50438477065342e-34	1.74901044290746e-32
SRR1257266	29	12	7.66883592644085e-34	1.78051637177632e-32
SRR1802139	27	12	8.20106719497662e-34	1.89684759494459e-32
SRR3306584	28	12	8.6189111858007e-34	1.98594078572825e-32
SRR1257236	28	12	1.14919390407473e-33	2.62802508287471e-32
SRR1257261	29	12	1.14919393727548e-33	2.62802508287471e-32
SRR1257244	28	12	1.36868381080805e-33	3.11824105660876e-32
SRR1585508	29	14	1.58940325448083e-33	3.60758955112198e-32
SRR2873532	27	12	1.65807598600971e-33	3.74947071483162e-32
SRR1802139	26	12	3.07613668438779e-33	6.93042201893739e-32
SRR1661491	29	12	3.52336711079769e-33	7.90872403504883e-32
SRR2064449	27	12	3.62946891958604e-33	8.11693361685362e-32
SRR2064450	30	12	4.97076643823914e-33	1.10758872687944e-31
SRR627625	30	12	6.11319609857011e-33	1.3571741557519e-31
SRR1585535	29	14	6.55042207277771e-33	1.44895336249843e-31
SRR1916549	30	12	8.24517692114703e-33	1.81722504388904e-31
SRR1585509	29	14	9.41750129794268e-33	2.06811048358792e-31
SRR1257244	29	12	1.00453934872126e-32	2.19806217923432e-31
SRR1585541	29	14	1.09503607922864e-32	2.38749264155837e-31
SRR1585531	29	14	1.22304617149482e-32	2.6570678075725e-31
SRR1528692	30	12	1.27875242109788e-32	2.76820319485352e-31
SRR1257241	29	12	1.49493581136677e-32	3.22471437607945e-31
SRR1257257	29	12	1.6037098417035e-32	3.44712613677822e-31
SRR1585498	29	14	1.76951840984765e-32	3.79013397433214e-31
SRR1257240	28	12	2.15117160537025e-32	4.59143048262008e-31
SRR1610251	25	12	2.42804064363891e-32	5.16425567666275e-31
SRR1257240	29	12	2.6363651333129e-32	5.56842019107815e-31
SRR1257242	29	12	2.63637188070115e-32	5.56842019107815e-31
SRR1802132	29	12	3.61881882291637e-32	7.61705013833919e-31
SRR2433794	27	12	3.92493974757499e-32	8.23289947741333e-31
SRR1585514	29	14	4.52996247942107e-32	9.43690471312366e-31
SRR1257228	29	12	4.52996247942151e-32	9.43690471312366e-31
SRR1535538	28	12	4.55415009362665e-32	9.45491297594912e-31
